first_name,last_name,email,cell_phone,state
Marta,Jesus,,9 9102-7834,Acre
Luana,Almeida,,9 7328-8718,Rio Grande do Sul
Frida,Mendes,frida@meu_email.com,9 5906-7552,São Paulo
Daniela,Avelino,daniela@exemplo.com,9 4642-9486,Mato Grosso
Romário,Teixeira,,9 3093-6522,Bahia
Marcelo,Barroso,,9 2830-2088,Rio Grande do Sul
Cristiano,Elísio,cristiano@exemplo.com,9 3532-8404,Goiás
Everton,Barbosa,everton@meu_email.com,9 2553-4087,Distrito Federal
Gabriela,Alves,gabriela@exemplo.com,9 1353-8433,Santa Catarina
Luan,Dias,luan@exemplo.com,9 2417-3678,Distrito Federal
Mariana,Alves,mariana@meu_email.com,9 1846-6377,Santa Catarina
James,Albuquerque,,9 2430-5905,Sergipe
Carol,Barboza,carol@exemplo.com,9 8487-3501,Mato Grosso
Carolina,Monteiro,carolina@teste.com,9 1226-4267,Rio Grande do Sul
Francisco,Nascimento,francisco@exemplo.com,9 7264-9020,Distrito Federal
Stephanie,Barbosa,stephanie@usuario.com,9 1446-3560,Mato Grosso
Laura,Santos,laura@exemplo.com,9 7802-6152,Maranhão
João,Magalhães,joão@exemplo.com,9 5995-1272,Pernambuco
Jair,Magalhães,jair@exemplo.com,9 8368-1315,Alagoas
Caíque,Monteiro,caíque@exemplo.com,9 9793-9986,Piauí
Adalberto,Silva,adalberto@usuario.com,9 1338-1447,São Paulo
Diego,Freire,diego@teste.com,9 6686-4094,Bahia
Heitor,Pereira,,9 4839-8118,Maranhão
Maria,Pires,,9 8229-1067,Amazonas
Jair,Barroso,jair@teste.com,9 6679-6120,Ceará
Alice,Veloso,alice@exemplo.com,9 9869-3706,Minas Gerais
Eloá,da Silva,eloá@usuario.com,9 3982-5948,Espírito Santo
Luan,Lima,luan@teste.com,9 2529-8197,Acre
Beatriz,Araújo,beatriz@usuario.com,9 4543-3853,Minas Gerais
Geisa,Santos,geisa@meu_email.com,9 4653-9739,Rio Grande do Norte
Gabriel,Teixeira,gabriel@exemplo.com,9 7419-5325,Rio Grande do Sul
Geisa,Freitas,geisa@exemplo.com,9 6772-5310,Mato Grosso do Sul
Ana,Campos,ana@teste.com,9 1932-9841,Bahia
João,da Silva,joão@usuario.com,9 2813-8103,Paraná
José,Campos,josé@teste.com,9 7552-4340,Goiás
Adalberto,Dias,adalberto@usuario.com,9 8395-7004,Espírito Santo
Mariana,Góes,mariana@meu_email.com,9 7324-4293,
Daniela,Monteiro,daniela@meu_email.com,9 4704-5844,Goiás
Marcelo,Mendes,,9 6773-1560,Espírito Santo
